Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.F1,"urn:cite:hmt:vaimg.VA162VN-0664@0.23,0.2277,0.2014,0.0335",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msA.hmt:12.F2,"urn:cite:hmt:vaimg.VA162VN-0664@0.2332,0.2601,0.1921,0.0367",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msA.hmt:12.F3,"urn:cite:hmt:vaimg.VA162VN-0664@0.2273,0.4633,0.2093,0.0406",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msA.hmt:12.F4,"urn:cite:hmt:vaimg.VA162VN-0664@0.2271,0.6247,0.1982,0.068",urn:cite:hmt:msA.162v
urn:cts:greekLit:tlg5026.msA.hmt:12.F5,"urn:cite:hmt:vaimg.VA163RN-0334@0.165,0.0872,0.6206,0.0336",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F6,"urn:cite:hmt:vaimg.VA163RN-0334@0.17,0.1056,0.6141,0.0396",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F7,"urn:cite:hmt:vaimg.VA163RN-0334@0.17,0.1295,0.6033,0.0304",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F8,"urn:cite:hmt:vaimg.VA163RN-0334@0.1693,0.1484,0.5148,0.0233",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F9,"urn:cite:hmt:vaimg.VA163RN-0334@0.6153,0.3405,0.1911,0.0953",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F10,"urn:cite:hmt:vaimg.VA163RN-0334@0.6143,0.4241,0.1773,0.0684",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F11,"urn:cite:hmt:vaimg.VA163RN-0334@0.6164,0.4867,0.1885,0.0657",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F12,"urn:cite:hmt:vaimg.VA163RN-0334@0.6112,0.5451,0.1885,0.0608",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F13,"urn:cite:hmt:vaimg.VA163RN-0334@0.6135,0.6026,0.1968,0.0665",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F14,"urn:cite:hmt:vaimg.VA163RN-0334@0.6151,0.664,0.1755,0.0522",urn:cite:hmt:msA.163r
urn:cts:greekLit:tlg5026.msA.hmt:12.F15,"urn:cite:hmt:vaimg.VA163RN-0334@0.1585,0.7003,0.6173,0.0417",urn:cite:hmt:msA.163r
